I;II;III;IV;V;Hasła klasyfikacyjne;KA km;KA ki;Uwagi
1;11;114;1142;;Przeglądy kadrowe;B-5;Bc;
1;11;115;;;Odznaczenia państwowe i resortowe;;;
1;11;115;1150;;Ewidencja pracowników odznaczonych;BE-10;Bc;
1;11;115;1151;;Odznaczenia państwowe (wnioski);B-5;Bc;
1;11;115;1152;;Odznaczenia resortowe;B-5;Bc;
1;11;116;;;Prace dodatkowe pracowników;;;
1;11;116;1160;;Ewidencja pracowników wykonujących prace dodatkowe;B-5;Bc;
1;11;116;1161;;Umowy o zakazie konkurencji;B-5;Bc;
1;11;116;1162;;Prace zlecone;B-5;Bc;
1;11;116;1163;;Umowy o dzieło;B-5;Bc;
1;12;;;;SZKOLENIE PRACOWNIKÓW;;;
1;12;120;;;Przepisy prawne dotyczące szkolenia pracowników;B-10;Bc;
1;12;121;;;Ośrodki doskonalenia kadr pracowniczych;;;
1;12;121;1210;;Lokale, pomieszczenia i ich wyposażenie;B-5;Bc;
1;12;121;1211;;Pracownicy ośrodków;B-5;Bc;
1;12;121;1212;;Koszty szkolenia, rozliczenia, zwolnienia od kosztów;B-5;Bc;
1;12;121;1213;;Baza żywieniowa, rozliczenia;;;
1;12;121;1214;;Obsługa techniczno-kancelaryjna;;;
1;12;121;1215;;Dokumentacja szkolenia;B-5;Bc;Dzienniki zajęć, listy obecności
1;12;122;;;Formy i metody szkolenia;;;
1;12;122;1220;;Plany i programy szkolenia oraz sprawozdania z ich wykonania;A;Bc;
1;12;122;1221;;Analizy i oceny form szkoleniowych;A;Bc;
1;12;122;1222;;Kursy;B-5;Bc;Protokoły i świadectwa – zob. hasło 1232 (kat.B-50)
1;12;122;1223;;Seminaria, sympozja, kursokonferencje;B-3;Bc;
1;12;122;1224;;Szkolenie praktykantów;B-3;Bc;
1;12;122;1225;;Egzaminy kwalifikacyjne;B-50;Bc;
1;12;122;1226;;Praktyki szkoleniowe;B-3;Bc;
1;12;122;1227;;Samokształcenie, dokształcanie;B-3;Bc;
1;12;123;;;Uczestnicy szkolenia;;;
1;12;123;1230;;Ewidencja szkolonych;B-10;Bc;
1;12;123;1231;;Dobór kadr do szkolenia;B-2;Bc;
1;12;123;1232;;Protokoły egzaminów;B-50;Bc;
1;13;;;;DYSCYPLINA PRACY, URLOPY, KARY;;;
1;13;130;;;Przepisy prawne dotyczące dyscypliny pracy, urlopów, karania pracowników;B-10;Bc;
1;13;131;;;Dyscyplina pracy;;;
1;13;131;1310;;Karty ewidencji czasu pracy;B-10;Bc;Okres przechowywania liczy się od daty zwolnienia pracownika
1;13;131;1311;;Listy obecności pracowników;B-3;Bc;
1;13;131;1312;;Absencja chorobowa;B-3;Bc;
1;13;131;1313;;Książki wyjść poza urząd;B-3;Bc;
1;13;131;1314;;Ewidencja delegacji służbowych;B-3;Bc;
1;13;131;1315;;Zachowanie tajemnicy państwowej i służbowej;B-3;Bc;
1;13;132;;;Urlopy pracownicze;;;
1;13;132;1320;;Plany i wykorzystanie urlopów wypoczynkowych pracowników urzędu własnego;B-3;Bc;
1;13;132;1321;;Plany i wykorzystanie urlopów wypoczynkowych kadry kierowniczej gminnych jednostek organizacyjnych;B-3;Bc;
1;13;132;1322;;Urlopy okolicznościowe;B-3;Bc;
1;13;132;1323;;Urlopy macierzyńskie;B-5;Bc;
1;13;132;1324;;Urlopy bezpłatne;B-3;Bc;
1;13;132;1325;;Urlopy dla poratowania zdrowia;B-3;Bc;
1;13;133;;;Kary porządkowe i dyscyplinarne;;;
1;13;133;1330;;Upomnienia;Bc;Bc;Zgodnie z przepisami kodeksu pracy
1;13;133;1331;;Zawieszenie w czynnościach;B-5;Bc;
1;13;133;1332;;Zacieranie nałożonych kar;B-5;Bc;
1;14;;;;SPRAWY SOCJALNO-BYTOWE;;;
1;14;140;;;Przepisy prawne dotyczące spraw socjalno-bytowych pracowników;B-10;Bc;
1;14;141;;;Mieszkania, działki, dojazdy;;;
1;14;141;1410;;Mieszkania pracownicze, pomoc i interwencje w sprawach mieszkaniowych;B-3;Bc;
1;14;141;1411;;Pracownicze ogródki działkowe;B-3;Bc;
1;14;141;1412;;Działki budowlane dla pracowników;B-3;Bc;
1;14;141;1413;;Dojazdy do pracy – dopłaty do biletów;B-3;Bc;
1;14;142;;;Opieka zdrowotna;;;
1;14;142;1420;;Ambulatoria własne;B-3;Bc;
1;14;142;1421;;Sanatoria, wczasy lecznicze;B-3;Bc;
1;14;142;1422;;Zasiłki chorobowe;B-5;Bc;
1;14;142;1423;;Zasiłki porodowe, pogrzebowe, inne;B-5;Bc;
1;14;142;1424;;Opieka nad inwalidami;B-3;Bc;
1;14;142;1425;;Opieka nad emerytami i rencistami;B-3;Bc;
1;14;142;1426;;Opieka nad dziećmi pracowników;B-3;Bc;
1;14;143;;;Wypoczynek pracowników i ich rodzin;;;
1;14;143;1430;;Wczasy pracownicze i rodzinne;B-3;Bc;
1;14;143;1431;;Obozy, kolonie dla dzieci i młodzieży;B-3;Bc;
1;14;143;1432;;Własna baza wczasowo-kolonijna;B-3;Bc;
1;14;143;1433;;"Wyjazdy śródroczne młodzieży szkolnej (""zielone szkoły"")";B-3;Bc;
1;14;144;;;Sport, oświata, kultura;;;
1;14;144;1440;;Własna baza sportowa i oświatowo-kulturalna;B-3;Bc;
1;14;144;1441;;Imprezy sportowe dla pracowników;B-3;Bc;
1;14;144;1442;;Wypożyczanie sprzętu sportowego;B-3;Bc;
1;14;144;1443;;Biblioteki i czytelnie dla pracowników;B-3;Bc;
1;14;144;1444;;Imprezy kulturalno-oświatowe dla pracowników;B-3;Bc;
1;15;;;;EMERYTURY, RENTY, UBEZPIECZENIA;;;
1;15;150;;;Przepisy prawne emerytalno–rentowe i ubezpieczeniowe;B-10;Bc;
1;15;151;;;Emerytury i renty;;;
1;15;151;1510;;Ewidencja emerytów i rencistów;B-10;Bc;
1;15;151;1511;;Wnioski o emerytury;B-3;Bc;
1;15;151;1512;;Wnioski o renty;B-3;Bc;
1;15;152;;;Ubezpieczenia społeczne;;;
1;15;152;1520;;Składki ubezpieczenia społecznego;B-5;Bc;
1;15;152;1521;;Zbiorowe ubezpieczenia pracowników;B-3;Bc;
1;15;152;1522;;Legitymacje ubezpieczeniowe;B-5;Bc;
1;16;;;;BEZPIECZEŃSTWO I HIGIENA PRACY;;;
1;16;160;;;Przepisy prawne dotyczące bezpieczeństwa i higieny pracy;B-10;Bc;
1;16;161;;;Stan bezpieczeństwa i higieny pracy;;;
1;16;161;1610;;Przeglądy stanu bezpieczeństwa i higieny pracy – w urzędzie własnym;B-3;Bc;
1;16;161;1611;;Przeglądy stanu bezpieczeństwa i higieny pracy w jednostkach podległych;B-3;Bc;
1;16;161;1612;;Analizy i oceny stanu bezpieczeństwa i higieny pracy;BE-5;Bc;
1;16;162;;;Środki ochronne;;;
1;16;162;1620;;Odzież ochronna i sprzęt ochrony osobistej;B-3;Bc;Karty ewidencyjne
1;16;162;1621;;Urządzenia ochronne i sanitarne;B-3;Bc;
1;16;162;1622;;Środki utrzymania czystości;B-3;Bc;
1;16;163;;;Wypadki przy pracy, choroby zawodowe;;;
1;16;163;1630;;Wypadki przy pracy;B-10;Bc;Wypadki śmiertelne, zbiorowe – kat. A
1;16;163;1631;;Wypadki w drodze do i z pracy;B-10;Bc;
1;16;163;1632;;Zgłoszenia chorób zawodowych;B-10;Bc;
1;16;163;1633;;Analizy i oceny wypadkowości i chorób;B-10;Bc;
1;16;163;1634;;Profilaktyka zapobiegawcza i badania okresowe;B-5;Bc;
2;;;;;ŚRODKI RZECZOWE;;;
2;20;;;;ADMINISTRACJA NIERUCHOMOŚCIAMI;;;
2;20;200;;;Podstawowe zasady gospodarowania nieruchomościami;A;Bc;
2;20;201;;;Administrowanie nieruchomościami;;;
2;20;201;2010;;Ewidencja nieruchomości, lokali i pomieszczeń użytkowanych przez urząd własny;B-10;Bc;
2;20;201;2011;;Ewidencja nieruchomości, lokali i pomieszczeń przekazanych w użytkowanie innym jednostkom organizacyjnym;B-10;Bc;
2;20;201;2012;;Nabywanie, zbywanie, zamiana nieruchomości, lokali, pomieszczeń;B-25;Bc;
2;20;201;2013;;Podatki, opłaty i czynsze za lokale, pomieszczenia i nieruchomości własne;B-5;Bc;
2;20;201;2014;;Podatki, opłaty i czynsze za lokale, pomieszczenia i nieruchomości jednostek podległych;B-5;Bc;
2;20;201;2015;;Gospodarka nieruchomościami, lokalami i pomieszczeniami;B-3;Bc;
2;20;201;2016;;Eksploatacja nieruchomości, lokali i pomieszczeń;B-3;Bc;
2;20;201;2017;;Eksploatacja urządzeń techniczno-instalacyjnych;B-3;Bc;
2;20;201;2018;;Dekoracje, flagowanie, estetyka;B-3;Bc;
2;20;202;;;Ochrona obiektów i mienia;;;
2;20;202;2020;;Ochrona przeciwpożarowa w obiektach własnych;B-5;Bc;
2;20;202;2021;;Ochrona przeciwpożarowa w obiektach jednostek podległych;B-5;Bc;
2;20;202;2022;;Ochrona (strzeżenie) obiektów własnych;B-3;Bc;
2;20;202;2023;;Ochrona (strzeżenie) obiektów jednostek podległych;B-3;Bc;
2;20;202;2024;;Ochrona mienia własnego;B-3;Bc;
2;20;202;2025;;Ochrona mienia jednostek podległych;B-3;Bc;
2;21;;;;GOSPODARKA ŚRODKAMI RUCHOMYMI;;;
2;21;210;;;Zaopatrzenie w materiały i pomoce biurowe;;;
2;21;210;2100;;Źródła zaopatrzenia, dostawcy;B-3;Bc;
2;21;210;2101;;Magazynowanie i użytkowanie ruchomości, materiałów, narzędzi i pomocy biurowych;B-5;Bc;
2;21;210;2102;;Ewidencja ruchomości, narzędzi, materiałów i pomocy biurowych;B-5;Bc;
2;21;210;2103;;Upłynnianie ruchomości, materiałów, narzędzi i pomocy biurowych;B-5;Bc;
2;21;210;2104;;Zapotrzebowania na materiały biurowe;B-5;Bc;
2;21;211;;;Meble i sprzęt biurowy;;;
2;21;211;2110;;Zapotrzebowania, zamówienia, przydziały;B-3;Bc;
2;21;211;2111;;Konserwacja i remonty;B-3;Bc;
2;21;211;2112;;Kasacja i upłynnianie;B-5;Bc;
2;21;212;;;Maszyny i urządzenia;;;
2;21;212;2120;;Zapotrzebowania, zamówienie, przydziały;B-3;Bc;
2;21;212;2121;;Dokumentacja techniczna i eksploatacyjna;B-5;Bc;
2;21;212;2122;;Ewidencja maszyn i urządzeń;B-5;Bc;
2;21;213;;;Gospodarka materiałowa i narzędziowa;;;
2;21;213;2130;;Zasady gospodarki materiałowej i narzędziowej;B-10;Bc;Własne ustalenia – kat. A
2;21;213;2131;;Ewidencja materiałów i narzędzi;B-5;Bc;
2;21;213;2132;;Magazynowanie materiałów i narzędzi;B-5;Bc;
2;21;213;2133;;Rozliczenia zużycia;B-5;Bc;
2;21;214;;;Inwentaryzacja;;;
2;21;214;2140;;Inwentaryzacja w urzędzie własnym;B-5;Bc;
2;21;214;2141;;Inwentaryzacja w jednostkach podległych;B-5;Bc;
2;21;214;2142;;Komisje inwentaryzacyjne – własne;B-5;Bc;
2;21;214;2143;;Komisje inwentaryzacyjne w jednostkach podległych;B-5;Bc;
2;22;;;;INWESTYCJE I REMONTY BUDOWLANE;;;Finansowanie inwestycji i remontów – zob. hasła grupy 304
2;22;220;;;Przepisy prawne dotyczące inwestycji i remontów;B-10;Bc;
2;22;221;;;Przygotowanie inwestycji i remontów;;;
2;22;221;2210;;Normatywy techniczne projektowania;B-5;Bc;
2;22;221;2211;;Opinie i uzgodnienia projektów inwestycyjnych  i remontów kapitalnych;B-5;Bc;
2;22;221;2212;;Zlecenia na wykonanie dokumentacji;B-5;Bc;
2;22;221;2213;;Plany inwestycyjne i remontowe;B-5;Bc;
2;22;222;;;Inwestycje budowlane;;;
2;22;222;2220;;Dokumentacja (prawna, techniczna i inna) budynków typowych;BE-5;Bc;Okres przechowywania liczy się od daty zaprzestania eksploatacji  budynku
2;22;222;2221;;Dokumentacja (prawna, techniczna i inna) budynków zabytkowych;A;Bc;
2;22;222;2222;;Zlecenia, umowy;B-5;Bc;Umowy zawarte w wyniku zamówienia publicznego – zob. hasło 342
2;22;222;2223;;Protokoły odbioru, rozliczenia;B-5;Bc;
2;22;222;2224;;Zaopatrzenie materiałowe i wyposażeniowe;B-5;Bc;
2;22;222;2225;;Sprawozdania z realizacji inwestycji;B-5;Bc;
2;22;222;2226;;Ewidencja inwestycji;A;Bc;
2;22;222;2227;;Nadzór inwestycyjny;B-5;Bc;
2;22;223;;;Remonty;;;
2;22;223;2230;;Dokumentacja techniczno-prawna;B-5;Bc;
2;22;223;2231;;Wykonawstwo remontów kapitalnych – umowy, zlecenia, itp.;B-5;Bc;
2;22;223;2232;;Wykonawstwo remontów bieżących;B-5;Bc;
2;22;223;2233;;Zaopatrzenie materiałowe;B-5;Bc;
2;22;223;2234;;Protokoły odbioru, rozliczenia;B-5;Bc;
2;22;223;2235;;Nadzór inwestorski;B-5;Bc;
2;23;;;;TRANSPORT WŁASNY;;;
2;23;230;;;Przepisy prawne dotyczące transportu własnego;B-10;Bc;
2;23;231;;;Zakupy i ewidencja środków transportu;;;
2;23;231;2310;;Zakupy środków transportu;B-5;Bc;
2;23;231;2311;;Ewidencja środków transportu własnych;B-10;Bc;
2;23;231;2312;;Ewidencja środków transportu jednostek podległych;B-10;Bc;
2;23;231;2313;;Etaty samochodowe;B-5;Bc;
2;23;232;;;Eksploatacja środków transportu;;;
2;23;232;2320;;Przebiegi samochodów własnych;B-5;Bc;
2;23;232;2321;;Przebiegi samochodów jednostek podległych;B-5;Bc;
2;23;232;2322;;Remonty kapitalne pojazdów;B-5;Bc;
2;23;232;2323;;Przeglądy techniczne i remonty bieżące pojazdów;B-5;Bc;
2;23;232;2324;;Części zamienne, narzędzia, sprzęt;B-5;Bc;
2;23;232;2325;;Paliwo;B-5;Bc;
2;23;232;2326;;Zezwolenia na prowadzenie pojazdów służbowych;B-5;Bc;
2;23;232;2327;;Ryczałty samochodowe – umowy na używanie pojazdów prywatnych do celów służbowych;B-5;Bc;
2;23;232;2328;;Karty drogowe;;;
2;23;232;2329;;Tablice rejestracyjne;;;
2;23;233;;;Warsztaty, garaże, myjnie;B-3;Bc;
2;23;234;;;Ubezpieczenia samochodu;B-3;Bc;
3;;;;;BUDŻET, PODATKI, RACHUNKOWOŚĆ;;;
3;30;;;;PLANOWANIE I WYKONANIE BUDŻETU;;;
3;30;300;;;Przepisy prawne dotyczące planowania budżetowego;B-10;Bc;
3;30;301;;;Budżet gminy;;;
3;30;301;3010;;Opracowania i materiały dotyczące projektu budżetu gminy;B-5;Bc;
3;30;301;3011;;Informacja o stanie mienia komunalnego;A;Bc;
3;30;301;3012;;Projekty uchwał Rady i zarządzeń w sprawach związanych z budżetem;B-5;Bc;
3;30;301;3013;;Opinia Regionalnej Izby Obrachunkowej o projekcie budżetu;A;Bc;
3;30;301;3014;;Budżet gminy i jego zmiany;A;Bc;
3;30;301;3015;;Ustalenie układu wykonawczego budżetu gminy;BE-5;Bc;
3;30;301;3016;;Analizy i weryfikacje planów finansowych dysponentów budżetu;B-5;Bc;
3;30;301;3017;;Ustalanie powiązań budżetu z gospodarką pozabudżetową;BE-5;Bc;
3;30;302;;;Realizacja budżetu gminy;;;
3;30;302;3020;;Przekazywanie środków dla jednostek budżetowych;B-5;Bc;
3;30;302;3021;;Rozliczanie dochodów i wydatków jednostek budżetowych;B-5;Bc;
3;30;302;3022;;Rozliczanie dochodów budżetowych z urzędami skarbowymi;B-5;Bc;
3;30;302;3023;;Rozliczanie subwencji ogólnej i dotacji celowych;B-5;Bc;
3;30;302;3024;;Ewidencja dochodów budżetowych według źródeł ich powstania w zakresie zadań własnych gminy;B-5;Bc;
3;30;302;3025;;Ewidencja dochodów budżetowych według źródeł ich powstania w zakresie zadań zleconych;B-5;Bc;
3;30;302;3026;;Ewidencja wykorzystania środków budżetowych według dysponentów w zakresie zadań własnych;B-5;Bc;
3;30;302;3027;;Ewidencja wykorzystania środków budżetowych według dysponentów w zakresie zadań zleconych;B-5;Bc;
3;30;302;3028;;Sprawozdania miesięczne, kwartalne i półroczne z wykonania budżetu;B-5;Bc;Wraz z opiniami Regionalnej Izby Obrachunkowej
3;30;302;3029;;Roczne sprawozdanie i analiza wykonania budżetu;A;Bc;Wraz z opinią Regionalnej Izby Obrachunkowej
3;30;303;;;Gospodarka pozabudżetowa;;;
3;30;303;3030;;Opracowania i materiały w sprawach planowania i realizacji środków pozabudżetowych;B-5;Bc;
3;30;303;3031;;Rozliczanie dotacji ze źródeł pozabudżetowych;B-5;Bc;
3;30;303;3032;;Ewidencja wykorzystania środków na realizację zadań gospodarki pozabudżetowej;B-5;Bc;
3;30;303;3033;;Plany finansowe zakładów budżetowych i gospodarstw pomocniczych;B-5;Bc;
3;30;304;;;Finansowanie inwestycji i remontów;;;
3;30;304;3040;;Plany finansowania inwestycji i ich realizacja;B-5;Bc;
3;30;304;3041;;Finansowanie remontów kapitalnych;B-5;Bc;
3;30;304;3042;;Finansowanie remontów bieżących;B-5;Bc;
3;30;305;;;Fundusze specjalne i celowe, środki specjalne, pożyczki;;;
3;30;305;3050;;Ewidencja funduszy specjalnych i celowych;B-5;Bc;
3;30;305;3051;;Realizacja funduszy specjalnych i celowych – sprawozdania roczne;A;Bc;
3;30;305;3052;;Ewidencja przychodów i rozchodów funduszy;B-5;Bc;
3;30;305;3053;;Ewidencja przychodów i rozchodów środków specjalnych;B-5;Bc;
3;30;305;3054;;Pożyczki, kredyty;B-5;Bc;
3;30;305;3055;;Emisja obligacji;B-5;Bc;Okres przechowywania dokumentacji liczy się od roku następnego po wykupie
3;31;;;;PODATKI I OPŁATY;;;
3;31;310;;;Zobowiązania podatkowe;;;
3;31;310;3100;;Planowanie dochodów z podatków i opłat oraz sprawozdania z ich realizacji;A;Bc;
3;31;310;3101;;Rejestry podatkowe, ewidencje, wykazy;B-10;Bc;
3;31;311;;;Akta podatkowo-wymiarowe;;;
3;31;311;3110;;Podatek od nieruchomości;B-10;Bc;Zgłoszenia podatkowe, decyzje o wymiarze podatku, odwołania i zażalenia, zaniechanie poboru w całości lub części, stwierdzenie nadpłaty
3;31;311;3111;;Podatek rolny;B-5;Bc;
3;31;311;3112;;Podatek leśny;B-5;Bc;
3;31;311;3113;;Łączne zobowiązania podatkowe rolników;B-5;Bc;
3;31;311;3114;;Podatek od środków transportowych;B-5;Bc;
3;31;311;3115;;Podatek od działalności osób fizycznych – karta podatkowa;B-5;Bc;
3;31;311;3116;;Podatek od spadków i darowizn;B-5;Bc;
3;31;311;3117;;Podatek od posiadania psów;B-5;Bc;
3;31;311;3118;;Zaświadczenia w sprawach podatkowych;B-5;Bc;
3;31;311;3119;;Współpraca z urzędem skarbowym i bankiem;B-5;Bc;
3;31;312;;;Opłaty;;;Określenie wysokości stawek, terminów płatności i sposobów poboru, zarządzanie poboru w drodze inkasa, wprowadzanie ulg i zwolnień, określanie inkasentów
3;31;312;3120;;Opłata skarbowa;B-5;Bc;
3;31;312;3121;;Opłata eksploatacyjna;B-5;Bc;W części określonej w ustawie z dn. 4.02.1994 r. Prawo geologiczne i górnicze
3;31;312;3122;;Opłata targowa;B-5;Bc;
3;31;312;3123;;Opłata miejscowa;B-5;Bc;
3;31;312;3124;;Opłata administracyjna;B-5;Bc;
3;31;313;;;Egzekucja należności pieniężnych z tytułu podatków i opłat;B-5;Bc;
3;32;;;;DOCHODY INNE;;;
3;32;320;;;Dochody z majątku gminy;B-5;;
3;32;321;;;Odsetki;;;
3;32;321;3210;;Odsetki od środków finansowych gminy;B-5;Bc;
3;32;321;3211;;Odsetki od pożyczek udzielanych przez gminę;B-5;Bc;
3;32;321;3212;;Odsetki i dywidendy od kapitału wniesionego do spółek;B-5;Bc;
3;32;321;3213;;Odsetki od nieterminowych spłat należności;B-5;Bc;
3;33;;;;RACHUNKOWOŚĆ, KSIĘGOWOŚĆ, OBSŁUGA KASOWA;;;
3;33;330;;;Przepisy prawne dotyczące rachunkowości, księgowości i obsługi kasowej;B-10;Bc;
3;33;331;;;Plan kont;A;Bc;
3;33;332;;;Księgowość;;;
3;33;332;3320;;Księgi rachunkowe zadań własnych;B-10;Bc;Dzienniki finansowe, ewidencja syntetyczna, ewidencja analityczna, aktywa i pasywa, zestawienia obrotów i sald
3;33;332;3321;;Dowody księgowe (zadania własne);B-10;;
3;33;332;3322;;Księgi rachunkowe zadań zleconych i powierzonych;B-10;;
3;33;332;3323;;Dowody księgowe (zadania zlecone);B-10;Bc;
3;33;332;3324;;Księgi rachunkowe innych należności;B-5;Bc;Należności z tytułu dzierżaw, opłat, sprzedaży
3;33;332;3325;;Dowody księgowe innych należności;B-5;Bc;
3;33;332;3326;;Rozrachunki i roszczenia sporne;B-5;Bc;
3;33;332;3327;;Deklaracje i rozliczanie podatku VAT;B-5;Bc;
3;33;332;3328;;Wezwania do zapłaty i wyjaśnienia dotyczące zobowiązań i należności;B-5;Bc;
3;33;332;3329;;Zobowiązania, umowy, poręczenia;B-10;Bc;
3;33;333;;;Płace;;;
3;33;333;3330;;Dokumentacja służąca sporządzaniu list płac;B-5;Bc;
3;33;333;3331;;Listy płac;B-50;Bc;
3;33;333;3332;;Karty wynagrodzeń;B-50;Bc;
3;33;333;3333;;Zaświadczenia o wysokości zarobków;B-3;Bc;
3;33;333;3334;;Listy premii i nagród;B-50;Bc;
3;33;333;3335;;Listy zaliczek na wynagrodzenia;B-5;Bc;
3;33;334;;;Rozliczenia, diety, ubezpieczenia;;;
3;33;334;3340;;Rozliczenia delegacji służbowych;B-5;Bc;
3;33;334;3341;;Dokumentacja wynagrodzeń za umowy zlecenia i umowy o dzieło;B-5;Bc;W przypadku umów, od których odprowadzana jest składka ZUS – kat. B-50
3;33;334;3342;;Wypłaty diet radnym;B-5;Bc;
3;33;334;3343;;Rozliczanie podatku dochodowego od osób fizycznych;B-5;Bc;
3;33;334;3344;;Ustalanie i odprowadzanie składek ubezpieczenia społecznego pracowników;B-5;Bc;
3;33;335;;;Obsługa kasowa;;;
3;33;335;3350;;Raporty i dowody kasowe;B-5;Bc;
3;33;335;3351;;Uzgodnienia sald;B-5;Bc;
3;33;335;3352;;Depozyty kasowe, wpłaty wadium;B-5;Bc;
3;33;335;3353;;Rewizje i lustracje kasy;B-5;Bc;
3;33;336;;;Nadzór głównego księgowego;B-5;Bc;
3;33;336;3360;;Wytyczne i wyjaśnienia dla jednostek organizacyjnych;B-5;Bc;
3;33;336;3361;;Harmonogramy wydatków i dochodów;B-5;Bc;
3;33;336;3362;;Sprawy bankowe podległych jednostek;B-5;Bc;
3;33;336;3363;;Badanie bilansów;B-5;Bc;
3;33;336;3364;;Inne sprawy dotyczące księgowości budżetu gminy;B-5;Bc;
3;34;;;;ZAMÓWIENIA PUBLICZNE;;;
3;34;340;;;Rejestr zamówień publicznych;B-10;Bc;
3;34;341;;;Dokumentacja zamówień publicznych;B-5;Bc;Oferty, ogłoszenia, zapytania o cenę, specyfikacja technicznych warunków zamówienia, protokoły  komisji, odwołania, korespondencja z Urzędem Zamówień Publicznych
3;34;342;;;Umowy zawarte w wyniku postępowania w trybie zamówień publicznych;B-10;Bc;
3;34;343;;;Zlecenia;B-10;Bc;
4;;;;;KULTURA, SPORT, TURYSTYKA, OŚWIATA;;;
4;40;;;;UPOWSZECHNIANIE KULTURY;;;
4;40;400;;;Przepisy prawne dotyczące upowszechniania kultury;B-10;Bc;
4;40;401;;;Organizacja i programy upowszechniania kultury;;;
4;40;401;4010;;Plany i programy upowszechniania kultury;A;Bc;
4;40;401;4011;;Ewidencja (rejestr) instytucji i placówek kulturalnych;A;Bc;
4;40;401;4012;;Organizacja jednostek upowszechniania kultury;A;Bc;
4;40;401;4013;;Likwidacja jednostek;A;Bc;
4;40;401;4014;;Sprawowanie mecenatu i współpraca ze szkolnictwem artystycznym i ogniskami artystycznymi;BE-5;Bc;
4;40;401;4015;;Nadzór nad działalnością instytucji artystycznych i jednostek upowszechniania kultury;B-5;Bc;Wskazanym jest założenie podteczek dla każdej jednostki
4;40;401;4016;;Analizy działalności, oceny i informacje zbiorcze dotyczące instytucji upowszechniania kultury;A;Bc;
4;40;402;;;Stowarzyszenia kulturalne, twórcy;;;
4;40;402;4020;;Ewidencja stowarzyszeń kulturalnych;A;Bc;
4;40;402;4021;;Ewidencja twórców profesjonalnych;A;Bc;
4;40;402;4022;;Wnioski i dokonywanie wpisów o wykonywaniu wolnych zawodów twórczych;B-10;Bc;
4;40;402;4023;;Ewidencja twórców nieprofesjonalnych;A;Bc;
4;40;403;;;Organizacja imprez kulturalnych;;;
4;40;403;4030;;Imprezy i uroczystości stałe (doroczne i jubileuszowe);A;Bc;
4;40;403;4031;;Imprezy i uroczystości inne, występy estradowe;BE-5;Bc;
4;40;404;;;Ochrona dóbr kultury, zabytki nieruchome;;;
4;40;404;4040;;Ewidencja dóbr kultury nie wpisanych do rejestru zabytków;A;Bc;
4;40;404;4041;;Zabytki nieruchome – wnioski o wpis do rejestru;A;Bc;
4;40;404;4042;;Współdziałanie z Wojewódzkim Konserwatorem Zabytków w zakresie użytkowania obiektu zabytkowego;BE-5;Bc;
4;40;404;4043;;Przejmowanie w zarząd obiektu zabytkowego;A;Bc;
4;40;404;4044;;Nadzorowanie prac konserwatorskich w obiektach zabytkowych;B-5;Bc;
4;40;404;4045;;Opiniowanie projektów adaptacyjnych ;B-5;Bc;
4;40;404;;;i modernizacyjnych obiektów zabytkowych;;;
4;40;404;4046;;Oznakowywanie zabytków nieruchomych;B-5;Bc;
4;40;404;4047;;Powierzanie zabytków w opiekę społecznym opiekunom zabytków;B-10;Bc;
4;40;404;4048;;Opieka nad pomnikami i miejscami pamięci;A;Bc;
4;40;405;;;Zabytki archeologiczne;;;Zawiadomienia o znalezieniu przedmiotu archeologicznego lub odkryciu wykopaliska
4;40;406;;;Zabytki ruchome;;;
4;40;406;4060;;Wnioski o wpis do rejestru;A;Bc;
4;40;406;4061;;Przyjmowanie zawiadomień o ujawnieniu przedmiotu zabytkowego;BE-10;Bc;
4;40;406;4062;;Zabezpieczanie dóbr kultury w formie tymczasowego zajęcia;B-10;Bc;
4;41;;;;SPORT, KULTURA FIZYCZNA;;;
4;41;410;;;Przepisy prawne dotyczące sportu i kultury fizycznej;B-10;Bc;
4;41;411;;;Kierunki i programy rozwoju kultury fizycznej i sportu oraz sprawozdania z ich realizacji;A;Bc;
4;41;412;;;Wychowanie fizyczne i sport masowy;;;
4;41;412;4120;;Współpraca w zakresie kultury fizycznej i sportu z innymi samorządami, związkami i organizacjami sportowymi;B-5;Bc;
4;41;412;4121;;Organizacja imprez sportowych;B-5;Bc;
4;41;412;4122;;Nadzór i kontrolowanie ośrodków sportu i rekreacji;B-5;Bc;
4;41;412;4123;;Ewidencja uczniowskich klubów sportowych;B-10;Bc;
4;41;412;4124;;Nadzór nad działalnością stowarzyszeń kultury fizycznej oraz związków sportowych mających siedzibę na terenie gminy (miasta);B-10;Bc;
4;41;413;;;Obiekty sportowe i rekreacyjne;;;
4;41;413;4130;;Wnioski w zakresie remontów i inwestycji gminnych obiektów sportowo-rekreacyjnych i turystycznych;B-5;Bc;
4;41;413;4131;;Ewidencja obiektów i urządzeń sportowo-rekreacyjnych;BE-5;Bc;
4;41;413;4132;;Nadzór nad przygotowaniem obiektów do sezonu i bieżąca kontrola funkcjonowania;B-5;Bc;
4;42;;;;TURYSTYKA I WYPOCZYNEK;;;
4;42;420;;;Przepisy prawne dotyczące turystyki i wypoczynku;B-10;Bc;
4;42;421;;;Kierunki i programy rozwoju turystyki i wypoczynku na terenie gminy;A;Bc;
4;42;422;;;Zagospodarowanie turystyczno-wypoczynkowe;;;
4;42;422;4220;;Współpraca ze stowarzyszeniami turystyki działającymi na terenie gminy;B-5;Bc;
